sqlserver,SOURCE_FRED_POS_TWKNOX,dbo,TimeStampLog,ID,1,int,NULL,NULL,NULL,NULL,NULL
sqlserver,SOURCE_FRED_POS_TWKNOX,dbo,TimeStampLog,ServerTime,2,datetime,NULL,NULL,NULL,NULL,NULL
sqlserver,SOURCE_FRED_POS_TWKNOX,dbo,TimeStampLog,ServerTimeStamp,3,varbinary,8,NULL,NULL,NULL,NULL
sqlserver,SOURCE_FRED_POS_TWKNOX,dbo,TimeStampLog,DBTimeStamp,4,timestamp,NULL,NULL,NULL,NULL,NULL
sqlserver,SOURCE_FRED_POS_TWKNOX,dbo,TimeStampLog,StoreID,5,int,NULL,NULL,NULL,NULL,NULL
sqlserver,SOURCE_FRED_POS_TWKNOX,dbo,DatabaseMetaData,ID,1,int,NULL,NULL,NULL,NULL,NULL
sqlserver,SOURCE_FRED_POS_TWKNOX,dbo,DatabaseMetaData,PropertyName,2,nvarchar,50,NULL,NULL,NULL,NULL
sqlserver,SOURCE_FRED_POS_TWKNOX,dbo,DatabaseMetaData,PropertyValue,3,sql_variant,0,NULL,NULL,NULL,NULL
sqlserver,SOURCE_FRED_POS_TWKNOX,dbo,DatabaseMetaData,PropertyValueEx,4,ntext,1073741823,NULL,NULL,NULL,NULL
sqlserver,SOURCE_FRED_POS_TWKNOX,dbo,Accounting,ID,1,int,NULL,PRIMARY KEY,NULL,NULL,NULL
sqlserver,SOURCE_FRED_POS_TWKNOX,dbo,Accounting,TableName,2,nvarchar,30,NULL,NULL,NULL,NULL
sqlserver,SOURCE_FRED_POS_TWKNOX,dbo,Accounting,FieldName,3,nvarchar,30,NULL,NULL,NULL,NULL
sqlserver,SOURCE_FRED_POS_TWKNOX,dbo,Accounting,DetailID,4,int,NULL,NULL,NULL,NULL,NULL
sqlserver,SOURCE_FRED_POS_TWKNOX,dbo,Accounting,Description,5,nvarchar,50,NULL,NULL,NULL,NULL
sqlserver,SOURCE_FRED_POS_TWKNOX,dbo,Accounting,DebitAccount,6,nvarchar,100,NULL,NULL,NULL,NULL
sqlserver,SOURCE_FRED_POS_TWKNOX,dbo,Accounting,CreditAccount,7,nvarchar,100,NULL,NULL,NULL,NULL
sqlserver,SOURCE_FRED_POS_TWKNOX,dbo,Accounting,DBTimeStamp,8,timestamp,NULL,NULL,NULL,NULL,NULL
sqlserver,SOURCE_FRED_POS_TWKNOX,dbo,Accounting,StoreID,9,int,NULL,NULL,NULL,NULL,NULL
sqlserver,SOURCE_FRED_POS_TWKNOX,dbo,Accounting,DisplayPosition,10,int,NULL,NULL,NULL,NULL,NULL
sqlserver,SOURCE_FRED_POS_TWKNOX,dbo,AccountReceivable,ID,1,int,NULL,PRIMARY KEY,NULL,NULL,NULL
sqlserver,SOURCE_FRED_POS_TWKNOX,dbo,AccountReceivable,StoreID,2,int,NULL,NULL,NULL,NULL,NULL
sqlserver,SOURCE_FRED_POS_TWKNOX,dbo,AccountReceivable,CustomerID,3,int,NULL,NULL,NULL,NULL,NULL
sqlserver,SOURCE_FRED_POS_TWKNOX,dbo,AccountReceivable,Date,4,datetime,NULL,NULL,NULL,NULL,NULL
sqlserver,SOURCE_FRED_POS_TWKNOX,dbo,AccountReceivable,DueDate,5,datetime,NULL,NULL,NULL,NULL,NULL
sqlserver,SOURCE_FRED_POS_TWKNOX,dbo,AccountReceivable,OriginalAmount,6,money,NULL,NULL,NULL,NULL,NULL
sqlserver,SOURCE_FRED_POS_TWKNOX,dbo,AccountReceivable,TransactionNumber,7,int,NULL,NULL,NULL,NULL,NULL
sqlserver,SOURCE_FRED_POS_TWKNOX,dbo,AccountReceivable,Type,8,smallint,NULL,NULL,NULL,NULL,NULL
sqlserver,SOURCE_FRED_POS_TWKNOX,dbo,AccountReceivable,Balance,9,money,NULL,NULL,NULL,NULL,NULL
